Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
mount-vernon,2178,1188,40 to 59,MOUNT VERNON,,,,
mountain-lagoon,2758,78,40 to 59,MOUNTAIN LAGOON,,,,
mulgoa,2745,1898,40 to 59,MULGOA,,,575.0,0.945
mulgrave,2756,76,5 to 19,MULGRAVE,,,,
narellan-vale,2567,7188,40 to 59,NARELLAN VALE,,345.0,450.0,0.65525
narellan,2567,3584,20 to 39,NARELLAN,,450.0,430.0,0.625
naremburn,2065,5885,20 to 39,NAREMBURN,1.0975,620.0,850.0,2.0775
narrabeen,2101,8194,60+,NARRABEEN,0.8375,560.0,873.0,2.35
narraweena,2099,6625,40 to 59,NARRAWEENA,,565.0,775.0,1.41
narwee,2209,5622,20 to 39,NARWEE,0.4925,400.0,600.0,0.9675
nelson,2765,444,60+,NELSON,,,,
neutral-bay,2089,10478,20 to 39,NEUTRAL BAY,0.9,560.0,1000.0,2.3
newington,2127,5798,20 to 39,NEWINGTON,0.705,520.0,730.0,1.11
newport,2106,9283,40 to 59,NEWPORT,0.825,578.0,910.0,1.7
newtown,2042,15027,20 to 39,NEWTOWN,0.685,450.0,770.0,1.31
normanhurst,2076,5280,40 to 59,NORMANHURST,0.72,465.0,650.0,1.1035
north-balgowlah,2093,3653,40 to 59,NORTH BALGOWLAH,,480.0,1125.0,2.0575
north-bondi,2026,9162,20 to 39,NORTH BONDI,1.185,700.0,1500.0,2.75
north-curl-curl,2099,4108,40 to 59,NORTH CURL CURL,,550.0,1150.0,2.208
north-epping,2121,4538,40 to 59,NORTH EPPING,,,685.0,1.27194
north-kellyville,2155,0,,NORTH KELLYVILLE,0.672,455.0,650.0,1.0375
north-manly,2100,3074,40 to 59,NORTH MANLY,,585.0,990.0,1.623
north-narrabeen,2101,5864,40 to 59,NORTH NARRABEEN,,538.0,850.0,1.355
north-parramatta,2151,13253,20 to 39,NORTH PARRAMATTA,0.545,400.0,530.0,0.96
north-richmond,2754,4983,40 to 59,NORTH RICHMOND,0.53,380.0,450.0,0.69
north-rocks,2151,7978,40 to 59,NORTH ROCKS,0.797,498.0,530.0,1.165
north-ryde,2113,10867,40 to 59,NORTH RYDE,0.733536,520.0,700.0,1.4425
north-st-marys,2760,3903,20 to 39,NORTH ST MARYS,,295.0,350.0,0.54525
north-strathfield,2137,4748,20 to 39,NORTH STRATHFIELD,0.735,530.0,700.0,1.675
north-sydney,2060,7713,20 to 39,NORTH SYDNEY,0.915,610.0,985.0,1.956
north-turramurra,2074,4269,60+,NORTH TURRAMURRA,1.22,,850.0,1.56425
north-wahroonga,2076,1975,40 to 59,NORTH WAHROONGA,,,775.5020386130113,1.6
north-willoughby,2068,4173,40 to 59,NORTH WILLOUGHBY,0.863,515.0,1088.0,2.08
northbridge,2063,6331,40 to 59,NORTHBRIDGE,1.025,650.0,1150.0,2.855
northmead,2152,11216,20 to 39,NORTHMEAD,0.65,430.0,500.0,0.93
northwood,2066,987,40 to 59,NORTHWOOD,,,1245.0,3.028
norwest,2153,0,,NORWEST,0.7,560.0,650.0,1.185
oakhurst,2761,6959,20 to 39,OAKHURST,,,420.0,0.59
oakville,2765,1969,40 to 59,OAKVILLE,,,600.0,1.0449849250695953
oatlands,2117,5661,40 to 59,OATLANDS,0.76,550.0,595.0,1.4
oatley,2223,10491,40 to 59,OATLEY,0.71,460.0,698.0,1.4475
old-guildford,2161,2667,20 to 39,OLD GUILDFORD,,,450.0,0.5706185764077708
old-toongabbie,2146,3126,40 to 59,OLD TOONGABBIE,,420.0,450.0,0.815
oran-park,2570,4762,20 to 39,ORAN PARK,,330.0,500.0,0.705
orchard-hills,2748,1890,40 to 59,ORCHARD HILLS,,,485.0,0.6813040577621965
oxford-falls,2100,143,60+,OXFORD FALLS,,,,
oxley-park,2760,3100,20 to 39,OXLEY PARK,0.4785,395.0,380.0,0.52
oyster-bay,2225,5479,40 to 59,OYSTER BAY,,575.0,695.0,1.1845
paddington,2021,12922,20 to 39,PADDINGTON,0.8775,495.0,1100.0,2.18125
padstow-heights,2211,3537,60+,PADSTOW HEIGHTS,,,600.0,0.871
padstow,2211,13313,40 to 59,PADSTOW,0.665,450.0,560.0,0.919
pagewood,2035,3792,40 to 59,PAGEWOOD,,670.0,830.0,1.375
palm-beach,2108,1586,60+,PALM BEACH,,,1000.0,3.575
panania,2213,12418,40 to 59,PANANIA,0.7425,425.0,620.0,0.91
parklea,2768,3477,20 to 39,PARKLEA,,470.0,550.0,0.837
parramatta,2150,25793,20 to 39,PARRAMATTA,0.597,460.0,495.0,1.08
peakhurst-heights,2210,2345,60+,PEAKHURST HEIGHTS,,,620.0,1.09
peakhurst,2210,10548,60+,PEAKHURST,0.658,500.0,600.0,0.9
pemulwuy,2145,5013,20 to 39,PEMULWUY,,430.0,630.0,0.78455
